timestamp,lt,rt
0.023137267,-0.325490177,-0.796078444
0.043299067,-0.325490177,-0.796078444
0.046744767,-0.325490177,-0.796078444
0.049618267,-0.325490177,-0.796078444
0.064290967,-0.325490177,-0.796078444
0.080951067,-0.325490177,-0.796078444
0.097566367,-0.380392134,-1
0.114312067,-0.325490177,-0.796078444
0.130947767,-0.325490177,-0.796078444
0.147592467,-0.325490177,-0.600000024
0.164339167,-0.325490177,-0.600000024
0.180926167,-0.325490177,-0.600000024
0.197555767,-0.325490177,-0.686274529
0.214293567,-0.325490177,-0.686274529
0.230960467,-0.325490177,-1
0.247532567,-0.254901946,-1
0.264255467,-0.254901946,-1
0.281005767,-0.254901946,-0.796078444
0.297701967,-0.301960766,-0.796078444
0.314247867,-0.301960766,-0.796078444
0.330966067,-0.325490177,-0.796078444
0.347554167,-0.325490177,-0.796078444
0.364259367,-0.325490177,-1
0.380972367,-0.278431356,-1
0.397574967,-0.278431356,-1
0.414260167,-0.278431356,-1
0.431070867,-0.278431356,-1
0.447574367,-0.278431356,-1
0.464380267,-0.278431356,-0.796078444
0.481024867,-0.278431356,-0.796078444
0.497578367,-0.278431356,-0.796078444
0.514267867,-0.278431356,-0.796078444
0.530977467,-0.278431356,-1
0.547576067,-0.278431356,-1
0.564359467,-0.278431356,-1
0.581044767,-0.278431356,-1
0.597625667,-0.278431356,-1
0.614305067,-0.278431356,-1
0.630930967,-0.278431356,-1
0.647569067,-0.278431356,-1
0.664368967,-0.278431356,-1
0.681046367,-0.278431356,-1
0.697533367,-0.278431356,-1
0.714297867,-0.278431356,-1
0.730935867,-0.278431356,-1
0.747735767,-0.278431356,-1
0.764331867,-0.278431356,-1
0.780983467,-0.278431356,-0.686274529
0.797581267,-0.278431356,-0.56078434
0.814308667,-0.278431356,-0.09803921
0.831031467,-0.278431356,0.513725519
0.847554367,-0.278431356,0.709803939
0.864297867,-0.278431356,0.913725495
0.880959867,-0.278431356,0.968627453
0.897586267,-0.278431356,1
0.914307567,-0.278431356,1
0.931157567,-0.278431356,1
0.947547267,-0.278431356,1
0.964460467,-0.278431356,1
0.981038267,-0.278431356,1
0.997543267,-0.278431356,1
1.014331967,-0.278431356,1
1.030998567,-0.278431356,1
1.047597467,-0.278431356,1
1.064416667,-0.278431356,1
1.081169667,-0.278431356,1
1.097770467,-0.278431356,1
1.114414767,-0.278431356,1
1.131121067,-0.278431356,1
1.147791667,-0.278431356,1
1.164426367,-0.278431356,0.992156863
1.181167867,-0.278431356,0.921568632
1.197809767,-0.278431356,0.701960802
1.214404667,-0.278431356,0.498039246
1.231171467,-0.278431356,-0.113725483
1.247747467,-0.278431356,-0.466666639
1.264348767,-0.254901946,-1
1.281117367,-0.254901946,-1
1.297676867,-0.254901946,-1
1.314369667,-0.254901946,-1
1.331209867,-0.254901946,-1
1.347546167,-0.254901946,-1
1.364429667,-0.254901946,-1
1.380948967,-0.239215672,-1
1.397633767,-0.113725483,-1
1.414527767,0.654901981,-1
1.431299367,0.890196085,-0.796078444
1.447733167,0.952941179,-0.796078444
1.464394667,1,-0.796078444
1.481208567,1,-0.796078444
1.497837367,1,-0.686274529
1.514515967,1,-0.600000024
1.531206967,1,-0.498039186
1.547769867,1,-0.325490177
1.564400267,1,-0.176470578
1.581144667,1,0.184313774
1.597719567,1,0.356862783
1.614416167,1,0.654901981
1.631302867,1,0.882352948
1.647872567,1,0.97647059
1.664530067,0.984313726,1
1.681117667,0.960784316,1
1.697699967,0.850980401,1
1.714428267,0.741176486,1
1.731120967,0.427451015,1
1.747704067,0.050980449,1
1.764555067,-0.082352936,1
1.781169367,-0.215686262,0.960784316
1.797806067,-0.239215672,0.913725495
1.814479067,-0.254901946,0.701960802
1.831073667,-0.254901946,0.262745142
1.847653967,-0.152941167,0.035294175
1.864422267,0.450980425,-0.192156851
1.881174967,0.796078444,-0.215686262
1.897919267,0.952941179,-0.215686262
1.914630567,1,-0.215686262
1.931128567,1,-0.215686262
1.947656867,1,-0.192156851
1.964533867,1,-0.152941167
1.981188467,1,0.074509859
1.997712867,1,0.262745142
2.014415267,1,0.662745118
2.031139567,0.992156863,0.890196085
2.047648967,0.968627453,0.952941179
2.064365967,0.843137264,0.992156863
2.081120367,0.733333349,1
2.097706967,0.325490236,0.992156863
2.114332867,-0.137254894,0.921568632
2.131103767,-0.215686262,0.733333349
2.147748267,0.207843184,0.325490236
2.164592467,0.482352972,0.074509859
2.181030467,0.811764717,-0.215686262
2.197882567,0.898039222,-0.239215672
2.214550467,0.984313726,-0.254901946
2.231088567,1,-0.254901946
2.247662367,1,-0.254901946
2.264428367,1,-0.254901946
2.281200967,1,-0.254901946
2.297729967,1,-0.215686262
2.314518367,1,-0.176470578
2.331195867,0.937254906,-0.113725483
2.347780667,0.600000024,-0.027450979
2.364394767,0.372549057,-0.027450979
2.381115267,-0.278431356,-0.066666663
2.397736767,-0.349019587,-0.09803921
2.414496067,-0.325490177,-0.152941167
2.431366167,-0.325490177,-0.192156851
2.447860067,-0.278431356,-0.215686262
2.464499467,-0.278431356,-0.215686262
2.481087467,-0.254901946,-0.239215672
2.497724667,-0.278431356,-0.239215672
2.514426867,-0.278431356,-0.239215672
2.531067767,-0.254901946,-0.325490177
2.547766267,-0.325490177,-0.380392134
2.564478867,-0.380392134,-0.380392134
2.581209267,-0.466666639,-0.435294092
2.597762667,-0.466666639,-0.435294092
2.614499667,-0.466666639,-0.349019587
2.631122467,-0.403921545,-0.349019587
2.647677467,-0.325490177,-0.403921545
2.664377567,-0.325490177,-0.466666639
2.681061767,-0.325490177,-0.403921545
2.697677267,-0.325490177,-0.466666639
2.714440367,-0.325490177,-0.466666639
2.731154767,-0.325490177,-0.403921545
2.747793967,-0.325490177,-0.325490177
2.764425967,-0.254901946,-0.403921545
2.881092633,-0.325490177,-0.403921545
2.928915367,-0.325490177,-0.466666639
3.913016967,0.286274552,0.905882359
3.972745967,0.286274552,0.984313726
4.004521967,0.262745142,1
4.039177367,0.239215732,1
4.074060367,0.239215732,1
4.109502267,0.254902005,1
4.145685567,0.254902005,1
4.179243967,0.231372595,1
4.213610667,0.231372595,1
4.247892467,0.254902005,1
4.283003167,0.215686321,1
4.317579567,0.207843184,1
4.353013767,0.215686321,1
4.387630867,0.239215732,1
4.422335467,0.239215732,0.968627453
4.457267567,0.254902005,0.913725495
4.492119067,0.286274552,0.890196085
4.526895367,0.317647099,0.874509811
4.561669967,0.317647099,0.858823538
4.597272267,0.356862783,0.827450991
4.631690367,0.396078467,0.796078444
4.666472767,0.419607878,0.741176486
4.701458967,0.427451015,0.686274529
4.736575767,0.419607878,0.639215708
4.803048067,0.435294151,0.623529434
4.838020367,0.435294151,0.615686297
4.873205567,0.435294151,0.58431375
4.907402667,0.466666698,0.545098066
4.941922567,0.490196109,0.521568656
4.976650767,0.505882382,0.521568656
5.012013767,0.521568656,0.53725493
5.046228367,0.529411793,0.529411793
5.081549267,0.552941203,0.505882382
5.115816867,0.607843161,0.521568656
5.150493067,0.662745118,0.53725493
5.185209967,0.717647076,0.545098066
5.219621767,0.78039217,0.53725493
5.254894767,0.788235307,0.53725493
5.289148467,0.80392158,0.545098066
5.324105767,0.811764717,0.545098066
5.358652467,0.819607854,0.513725519
5.393436067,0.819607854,0.521568656
5.427738667,0.811764717,0.529411793
5.462559967,0.819607854,0.529411793
5.497432067,0.827450991,0.521568656
5.532363867,0.819607854,0.53725493
5.567081567,0.827450991,0.545098066
5.601410067,0.819607854,0.56078434
5.636519167,0.819607854,0.552941203
5.671450267,0.80392158,0.58431375
5.705830967,0.796078444,0.607843161
5.740453667,0.788235307,0.615686297
5.774546367,0.78039217,0.615686297
5.809516467,0.772549033,0.615686297
5.844184567,0.764705896,0.623529434
5.879058267,0.764705896,0.631372571
5.913433267,0.749019623,0.654901981
5.948593367,0.741176486,0.662745118
5.983301867,0.733333349,0.654901981
6.018328967,0.725490212,0.647058845
6.053364867,0.709803939,0.647058845
6.088053067,0.701960802,0.654901981
6.123052867,0.709803939,0.647058845
6.157677067,0.709803939,0.639215708
6.193078567,0.686274529,0.654901981
6.228222767,0.686274529,0.654901981
6.262895267,0.701960802,0.631372571
6.298439467,0.686274529,0.631372571
6.332324467,0.686274529,0.631372571
6.367188867,0.686274529,0.639215708
6.401506467,0.686274529,0.639215708
6.436085767,0.694117665,0.639215708
6.471579467,0.686274529,0.647058845
6.506404267,0.694117665,0.639215708
6.541616167,0.694117665,0.631372571
6.575961167,0.694117665,0.639215708
6.610535767,0.686274529,0.631372571
6.645157167,0.694117665,0.631372571
6.680122667,0.694117665,0.623529434
6.714694167,0.694117665,0.623529434
6.749879767,0.686274529,0.631372571
6.785143167,0.686274529,0.631372571
6.819923667,0.686274529,0.623529434
6.854486167,0.686274529,0.615686297
6.888933667,0.670588255,0.631372571
6.923452667,0.670588255,0.631372571
6.958031067,0.662745118,0.631372571
6.995100767,0.662745118,0.631372571
7.027681167,0.670588255,0.631372571
7.062616767,0.662745118,0.631372571
7.097707867,0.670588255,0.615686297
7.131926967,0.670588255,0.607843161
7.166136067,0.662745118,0.615686297
7.201535267,0.654901981,0.615686297
7.236132867,0.654901981,0.607843161
7.270209067,0.647058845,0.607843161
7.305422567,0.639215708,0.615686297
7.340019467,0.631372571,0.623529434
7.375467167,0.631372571,0.607843161
7.410312267,0.639215708,0.607843161
7.445142767,0.631372571,0.607843161
7.480053967,0.631372571,0.607843161
7.514616667,0.631372571,0.607843161
7.548916367,0.623529434,0.607843161
7.583815967,0.607843161,0.607843161
7.618941967,0.623529434,0.623529434
7.653566967,0.631372571,0.607843161
7.687844467,0.639215708,0.607843161
7.723328867,0.631372571,0.615686297
7.757759667,0.631372571,0.607843161
7.792829267,0.631372571,0.607843161
7.827687967,0.615686297,0.607843161
7.862149467,0.607843161,0.607843161
7.896877967,0.607843161,0.615686297
7.931549667,0.615686297,0.615686297
7.965858067,0.623529434,0.607843161
8.000346867,0.615686297,0.623529434
8.034755667,0.615686297,0.615686297
8.069913667,0.615686297,0.607843161
8.104793767,0.607843161,0.607843161
8.139698067,0.607843161,0.607843161
8.173942967,0.600000024,0.615686297
8.208246967,0.607843161,0.607843161
8.242761767,0.600000024,0.607843161
8.276970167,0.568627477,0.607843161
8.311935367,0.505882382,0.592156887
8.346848667,0.474509835,0.568627477
8.381209167,0.450980425,0.568627477
8.416446767,0.435294151,0.568627477
8.450795667,0.427451015,0.576470613
8.485864267,0.427451015,0.576470613
8.521205967,0.427451015,0.576470613
8.556146967,0.427451015,0.568627477
8.590705667,0.427451015,0.53725493
8.625547367,0.450980425,0.498039246
8.661013167,0.443137288,0.474509835
8.695372767,0.443137288,0.474509835
8.730395967,0.443137288,0.482352972
8.765159967,0.443137288,0.474509835
8.800268667,0.450980425,0.482352972
8.834118767,0.450980425,0.482352972
8.869108067,0.450980425,0.474509835
8.904066767,0.466666698,0.474509835
8.938960767,0.466666698,0.482352972
8.973508867,0.458823562,0.513725519
9.009031367,0.458823562,0.568627477
9.043307367,0.458823562,0.600000024
9.078006267,0.450980425,0.615686297
9.113718867,0.450980425,0.631372571
9.148524467,0.450980425,0.639215708
9.182562267,0.458823562,0.647058845
9.217522967,0.458823562,0.654901981
9.252021667,0.450980425,0.654901981
9.286912067,0.450980425,0.654901981
9.322292167,0.450980425,0.654901981
9.357049967,0.443137288,0.654901981
9.391607467,0.443137288,0.654901981
9.425541867,0.443137288,0.654901981
9.460582467,0.450980425,0.654901981
9.494788867,0.450980425,0.654901981
9.529518467,0.450980425,0.654901981
9.564537267,0.450980425,0.662745118
9.599171467,0.450980425,0.654901981
9.634201267,0.443137288,0.654901981
9.668738167,0.443137288,0.662745118
9.703305367,0.443137288,0.662745118
9.737974167,0.450980425,0.662745118
9.772460967,0.450980425,0.662745118
9.808023967,0.450980425,0.662745118
9.842572567,0.450980425,0.670588255
9.877230867,0.443137288,0.670588255
9.911480067,0.443137288,0.670588255
9.946079267,0.435294151,0.670588255
9.980420667,0.435294151,0.670588255
10.01538847,0.435294151,0.670588255
10.05022387,0.427451015,0.670588255
10.08498167,0.380392194,0.670588255
10.11910067,0.317647099,0.670588255
10.15394247,0.239215732,0.670588255
10.18857867,0.192156911,0.670588255
10.22365347,0.192156911,0.670588255
10.25881317,0.192156911,0.670588255
10.29351677,0.192156911,0.670588255
10.32789667,0.207843184,0.670588255
10.36279797,0.215686321,0.670588255
10.39774207,0.231372595,0.670588255
10.43303807,0.231372595,0.670588255
10.46724657,0.239215732,0.670588255
10.50204467,0.254902005,0.670588255
10.53683317,0.294117689,0.670588255
10.57271957,0.317647099,0.670588255
10.60669877,0.333333373,0.670588255
10.64066097,0.333333373,0.670588255
10.67556267,0.333333373,0.670588255
10.70991177,0.325490236,0.670588255
10.74456577,0.325490236,0.670588255
10.77898717,0.325490236,0.662745118
10.81344337,0.325490236,0.662745118
10.84815737,0.325490236,0.662745118
10.88353617,0.325490236,0.662745118
10.91879757,0.325490236,0.662745118
10.95280557,0.325490236,0.662745118
10.98772127,0.333333373,0.662745118
11.02213627,0.333333373,0.662745118
11.05723147,0.325490236,0.662745118
11.09188287,0.325490236,0.662745118
11.12595627,0.325490236,0.662745118
11.16101687,0.325490236,0.662745118
11.19578497,0.325490236,0.662745118
11.23006037,0.325490236,0.662745118
11.26434777,0.317647099,0.662745118
11.29961877,0.325490236,0.662745118
11.33459027,0.325490236,0.662745118
11.36946017,0.325490236,0.662745118
11.40436397,0.325490236,0.662745118
11.43860277,0.325490236,0.662745118
11.47371607,0.333333373,0.662745118
11.50869767,0.325490236,0.662745118
11.54335417,0.317647099,0.662745118
11.57847727,0.325490236,0.670588255
11.61333817,0.325490236,0.670588255
11.64811257,0.325490236,0.670588255
11.68319717,0.325490236,0.670588255
11.71815427,0.325490236,0.670588255
11.75316887,0.333333373,0.662745118
11.78772707,0.325490236,0.662745118
11.82244287,0.317647099,0.662745118
11.85697587,0.325490236,0.662745118
11.89117327,0.325490236,0.670588255
11.92550097,0.325490236,0.662745118
11.96023397,0.333333373,0.670588255
11.99674037,0.333333373,0.670588255
12.02947757,0.349019647,0.654901981
12.06376147,0.325490236,0.654901981
12.09856727,0.317647099,0.654901981
12.13320217,0.325490236,0.654901981
12.16789537,0.333333373,0.662745118
12.20184667,0.325490236,0.662745118
12.23699657,0.333333373,0.662745118
12.27179667,0.333333373,0.662745118
12.30705887,0.349019647,0.654901981
12.34186217,0.333333373,0.654901981
12.37652487,0.317647099,0.654901981
12.41150117,0.325490236,0.654901981
12.44637657,0.349019647,0.662745118
12.48140247,0.325490236,0.662745118
12.51633147,0.333333373,0.662745118
12.55102847,0.349019647,0.662745118
12.58614407,0.349019647,0.654901981
12.62108607,0.333333373,0.654901981
12.65607317,0.333333373,0.662745118
12.69059277,0.333333373,0.654901981
12.72505107,0.333333373,0.654901981
12.75970927,0.325490236,0.654901981
12.79478907,0.325490236,0.654901981
