LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LR,LM,LC,LD,
1742899335.976693,278909,43336,8,LM,1,100,374089.3928476,374089.3928581,374090.0346341,1,
1742899352.521869,295454,46041,8,LM,1,100,374106.4340459,374106.4340461,374106.4612947,2,
1742899375.589116,318521,49842,8,LM,1,100,374129.5978512,374129.5978588,374129.6195682,3,
1742899376.325124,319257,49961,8,LM,1,100,374130.3801002,374130.3801185,374130.3861036,2,
1742899400.176378,343108,53873,8,LM,1,100,374154.2247546,374154.2247630,374154.2282035,3,
1742899400.999387,343931,54008,8,LM,1,100,374155.0098664,374155.0098748,374155.0278765,2,
1742899424.247636,367179,57811,8,LM,1,100,374178.2390374,374178.2390475,374178.2533094,3,
1742899463.352053,406283,64242,8,LM,1,100,374217.3596068,374217.3596098,374217.3904442,2,
