LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1742899278.764081,221697.000,34038,4,EM,1,100,RB
1742899278.814082,221747.000,34038,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899278.864083,221797.000,34038,4,EM,1,100,PS
1742899278.914333,221847.250,34074,4,EM,1,100,RS
1742899278.964584,221897.500,34074,4,EM,1,100,RB
1742899279.014834,221947.750,34074,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899279.065085,221998.000,34074,4,EM,1,100,PS
1742899279.115335,222048.250,34105,4,EM,1,100,RS
1742899279.165586,222098.500,34105,4,EM,1,100,RB
1742899279.215836,222148.750,34105,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899279.266087,222199.000,34105,4,EM,1,100,PS
1742899279.316337,222249.250,34139,4,EM,1,100,RS
1742899279.366588,222299.500,34139,4,EM,1,100,RB
1742899279.416838,222349.750,34139,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899279.467089,222400.000,34139,4,EM,1,100,PS
1742899279.517339,222450.250,34172,4,EM,1,100,RS
1742899279.567590,222500.500,34172,4,EM,1,100,RB
1742899279.617841,222550.750,34172,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899279.668091,222601.000,34172,4,EM,1,100,PS
1742899279.718342,222651.250,34206,4,EM,1,100,RS
1742899279.768592,222701.500,34206,4,EM,1,100,RB
1742899279.818843,222751.750,34206,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899279.869093,222802.000,34206,4,EM,1,100,PS
1742899279.919844,222852.750,34238,4,EM,1,100,RS
1742899279.970594,222903.500,34238,4,EM,1,100,RB
1742899280.021345,222954.250,34238,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899280.072095,223005.000,34238,4,EM,1,100,PS
1742899280.122346,223055.250,34271,4,EM,1,100,RS
1742899280.172596,223105.500,34271,4,EM,1,100,RB
1742899280.222847,223155.750,34271,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899280.273098,223206.000,34271,4,EM,1,100,PS
1742899280.323348,223256.250,34305,4,EM,1,100,RS
1742899280.373599,223306.500,34305,4,EM,1,100,RB
1742899280.423849,223356.750,34305,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899280.474100,223407.000,34305,4,EM,1,100,PS
1742899280.524350,223457.250,34338,4,EM,1,100,RS
1742899280.574601,223507.500,34338,4,EM,1,100,RB
1742899280.624851,223557.750,34338,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899280.675102,223608.000,34338,4,EM,1,100,PS
1742899280.731602,223664.500,34361,4,EM,1,100,RS
1742899280.788103,223721.000,34361,4,EM,1,100,RB
1742899280.844604,223777.500,34361,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899280.901104,223834.000,34361,4,EM,1,100,PS
1742899280.951355,223884.250,34397,4,EM,1,100,RS
1742899281.001605,223934.500,34397,4,EM,1,100,RB
1742899281.051856,223984.750,34397,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899281.102106,224035.000,34397,4,EM,1,100,PS
1742899281.152357,224085.250,34428,4,EM,1,100,RS
1742899281.202607,224135.500,34428,4,EM,1,100,RB
1742899281.252858,224185.750,34428,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899281.303108,224236.000,34428,4,EM,1,100,PS
1742899281.353359,224286.250,34462,4,EM,1,100,RS
1742899281.403610,224336.500,34462,4,EM,1,100,RB
1742899281.453860,224386.750,34462,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899281.504111,224437.000,34462,4,EM,1,100,PS
1742899281.554361,224487.250,34496,4,EM,1,100,RS
1742899281.604612,224537.500,34496,4,EM,1,100,RB
1742899281.654862,224587.750,34496,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899281.705113,224638.000,34496,4,EM,1,100,PS
1742899281.755363,224688.250,34529,4,EM,1,100,RS
1742899281.805614,224738.500,34529,4,EM,1,100,RB
1742899281.855865,224788.750,34529,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899281.906115,224839.000,34529,4,EM,1,100,PS
1742899281.956366,224889.250,34563,4,EM,1,100,RS
1742899282.006616,224939.500,34563,4,EM,1,100,RB
1742899282.056867,224989.750,34563,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899282.107117,225040.000,34563,4,EM,1,100,PS
1742899282.157368,225090.250,34596,4,EM,1,100,RS
1742899282.207618,225140.500,34596,4,EM,1,100,RB
1742899282.257869,225190.750,34596,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899282.308119,225241.000,34596,4,EM,1,100,PS
1742899282.359120,225292.000,34630,4,EM,1,100,RS
1742899282.410120,225343.000,34630,4,EM,1,100,RB
1742899282.461121,225394.000,34630,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899282.512121,225445.000,34630,4,EM,1,100,PS
1742899282.562122,225495.000,34662,4,EM,1,100,RS
1742899282.612123,225545.000,34662,4,EM,1,100,RB
1742899282.662123,225595.000,34662,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899282.712124,225645.000,34662,4,EM,1,100,PS
1742899282.762374,225695.250,34695,4,EM,1,100,RS
1742899282.812625,225745.500,34695,4,EM,1,100,RB
1742899282.862875,225795.750,34695,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899282.913126,225846.000,34695,4,EM,1,100,PS
1742899282.963376,225896.250,34729,4,EM,1,100,RS
1742899283.013627,225946.500,34729,4,EM,1,100,RB
1742899283.063877,225996.750,34729,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899283.114128,226047.000,34729,4,EM,1,100,PS
1742899283.164378,226097.250,34762,4,EM,1,100,RS
1742899283.214629,226147.500,34762,4,EM,1,100,RB
1742899283.264879,226197.750,34762,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899283.315130,226248.000,34762,4,EM,1,100,PS
1742899283.365381,226298.250,34796,4,EM,1,100,RS
1742899283.415631,226348.500,34796,4,EM,1,100,RB
1742899283.465882,226398.750,34796,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899283.516132,226449.000,34796,4,EM,1,100,PS
1742899283.566383,226499.250,34832,4,EM,1,100,RS
1742899283.616633,226549.500,34832,4,EM,1,100,RB
1742899283.666884,226599.750,34832,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899283.717134,226650.000,34832,4,EM,1,100,PS
1742899283.767385,226700.250,34863,4,EM,1,100,RS
1742899283.817635,226750.500,34863,4,EM,1,100,RB
1742899283.867886,226800.750,34863,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899283.918136,226851.000,34863,4,EM,1,100,PS
1742899283.968387,226901.250,34897,4,EM,1,100,RS
1742899284.018637,226951.500,34897,4,EM,1,100,RB
1742899284.068888,227001.750,34897,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899284.119139,227052.000,34897,4,EM,1,100,PS
1742899284.169389,227102.250,34928,4,EM,1,100,RS
1742899284.219640,227152.500,34928,4,EM,1,100,RB
1742899284.269890,227202.750,34928,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899284.320141,227253.000,34928,4,EM,1,100,PS
1742899284.370391,227303.250,34964,4,EM,1,100,RS
1742899284.420642,227353.500,34964,4,EM,1,100,RB
1742899284.470892,227403.750,34964,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899284.521143,227454.000,34964,4,EM,1,100,PS
1742899284.571393,227504.250,34996,4,EM,1,100,RS
1742899284.621644,227554.500,34996,4,EM,1,100,RB
1742899284.671895,227604.750,34996,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899284.722145,227655.000,34996,4,EM,1,100,PS
1742899284.773146,227706.000,35029,4,EM,1,100,RS
1742899284.824146,227757.000,35029,4,EM,1,100,RB
1742899284.875147,227808.000,35029,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899284.926147,227859.000,35029,4,EM,1,100,PS
1742899284.976148,227909.000,35061,4,EM,1,100,RS
1742899285.026148,227959.000,35061,4,EM,1,100,RB
1742899285.076149,228009.000,35061,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899285.126149,228059.000,35061,4,EM,1,100,PS
1742899285.176400,228109.250,35096,4,EM,1,100,RS
1742899285.226650,228159.500,35096,4,EM,1,100,RB
1742899285.276901,228209.750,35096,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899285.327152,228260.000,35096,4,EM,1,100,PS
1742899285.377402,228310.250,35129,4,EM,1,100,RS
1742899285.427653,228360.500,35129,4,EM,1,100,RB
1742899285.477903,228410.750,35129,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899285.528154,228461.000,35129,4,EM,1,100,PS
1742899285.578654,228511.500,35162,4,EM,1,100,RS
1742899285.629155,228562.000,35162,4,EM,1,100,RB
1742899285.679655,228612.500,35162,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899285.730156,228663.000,35162,4,EM,1,100,PS
1742899285.804407,228737.250,35198,4,EM,1,100,RS
1742899285.878657,228811.500,35198,4,EM,1,100,RB
1742899285.952908,228885.750,35198,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899286.027159,228960.000,35198,4,EM,1,100,PS
1742899286.077410,229010.250,35232,4,EM,1,100,RS
1742899286.127660,229060.500,35232,4,EM,1,100,RB
1742899286.177911,229110.750,35232,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899286.228161,229161.000,35232,4,EM,1,100,PS
1742899286.278912,229211.750,35266,4,EM,1,100,RS
1742899286.329662,229262.500,35266,4,EM,1,100,RB
1742899286.380413,229313.250,35266,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899286.431163,229364.000,35266,4,EM,1,100,PS
1742899286.481414,229414.250,35297,4,EM,1,100,RS
1742899286.531664,229464.500,35297,4,EM,1,100,RB
1742899286.581915,229514.750,35297,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899286.632165,229565.000,35297,4,EM,1,100,PS
1742899286.682416,229615.250,35333,4,EM,1,100,RS
1742899286.732666,229665.500,35333,4,EM,1,100,RB
1742899286.782917,229715.750,35333,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899286.833168,229766.000,35333,4,EM,1,100,PS
1742899286.883418,229816.250,35365,4,EM,1,100,RS
1742899286.933669,229866.500,35365,4,EM,1,100,RB
1742899286.983919,229916.750,35365,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899287.034170,229967.000,35365,4,EM,1,100,PS
1742899287.084420,230017.250,35398,4,EM,1,100,RS
1742899287.134671,230067.500,35398,4,EM,1,100,RB
1742899287.184921,230117.750,35398,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899287.235172,230168.000,35398,4,EM,1,100,PS
1742899287.285422,230218.250,35434,4,EM,1,100,RS
1742899287.335673,230268.500,35434,4,EM,1,100,RB
1742899287.385923,230318.750,35434,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899287.436174,230369.000,35434,4,EM,1,100,PS
1742899287.486425,230419.250,35465,4,EM,1,100,RS
1742899287.536675,230469.500,35465,4,EM,1,100,RB
1742899287.586926,230519.750,35465,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899287.637176,230570.000,35465,4,EM,1,100,PS
1742899287.687427,230620.250,35499,4,EM,1,100,RS
1742899287.737677,230670.500,35499,4,EM,1,100,RB
1742899287.787928,230720.750,35499,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899287.838178,230771.000,35499,4,EM,1,100,PS
1742899287.888429,230821.250,35531,4,EM,1,100,RS
1742899287.938679,230871.500,35531,4,EM,1,100,RB
1742899287.988930,230921.750,35531,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899288.039181,230972.000,35531,4,EM,1,100,PS
1742899288.089431,231022.250,35566,4,EM,1,100,RS
1742899288.139682,231072.500,35566,4,EM,1,100,RB
1742899288.189932,231122.750,35566,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899288.240183,231173.000,35566,4,EM,1,100,PS
1742899288.290433,231223.250,35600,4,EM,1,100,RS
1742899288.340684,231273.500,35600,4,EM,1,100,RB
1742899288.390934,231323.750,35600,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899288.441185,231374.000,35600,4,EM,1,100,PS
1742899288.492185,231425.000,35633,4,EM,1,100,RS
1742899288.543186,231476.000,35633,4,EM,1,100,RB
1742899288.594186,231527.000,35633,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899288.645187,231578.000,35633,4,EM,1,100,PS
1742899288.695437,231628.250,35667,4,EM,1,100,RS
1742899288.745688,231678.500,35667,4,EM,1,100,RB
1742899288.795938,231728.750,35667,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899288.846189,231779.000,35667,4,EM,1,100,PS
1742899288.896440,231829.250,35701,4,EM,1,100,RS
1742899288.946690,231879.500,35701,4,EM,1,100,RB
1742899288.996941,231929.750,35701,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899289.047191,231980.000,35701,4,EM,1,100,PS
1742899289.097442,232030.250,35732,4,EM,1,100,RS
1742899289.147692,232080.500,35732,4,EM,1,100,RB
1742899289.197943,232130.750,35732,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899289.248194,232181.000,35732,4,EM,1,100,PS
1742899289.298444,232231.250,35766,4,EM,1,100,RS
1742899289.348695,232281.500,35766,4,EM,1,100,RB
1742899289.398945,232331.750,35766,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899289.449196,232382.000,35766,4,EM,1,100,PS
1742899289.499446,232432.250,35799,4,EM,1,100,RS
1742899289.549697,232482.500,35799,4,EM,1,100,RB
1742899289.599947,232532.750,35799,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899289.650198,232583.000,35799,4,EM,1,100,PS
1742899289.700448,232633.250,35833,4,EM,1,100,RS
1742899289.750699,232683.500,35833,4,EM,1,100,RB
1742899289.800949,232733.750,35833,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899289.851200,232784.000,35833,4,EM,1,100,PS
1742899289.901450,232834.250,35865,4,EM,1,100,RS
1742899289.951701,232884.500,35865,4,EM,1,100,RB
1742899290.001951,232934.750,35865,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899290.052202,232985.000,35865,4,EM,1,100,PS
1742899290.102453,233035.250,35900,4,EM,1,100,RS
1742899290.152703,233085.500,35900,4,EM,1,100,RB
1742899290.202954,233135.750,35900,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899290.253204,233186.000,35900,4,EM,1,100,PS
1742899290.303455,233236.250,35932,4,EM,1,100,RS
1742899290.353705,233286.500,35932,4,EM,1,100,RB
1742899290.403956,233336.750,35932,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899290.454206,233387.000,35932,4,EM,1,100,PS
1742899290.504457,233437.250,35965,4,EM,1,100,RS
1742899290.554707,233487.500,35965,4,EM,1,100,RB
1742899290.604958,233537.750,35965,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899290.655208,233588.000,35965,4,EM,1,100,PS
1742899290.705959,233638.750,35997,4,EM,1,100,RS
1742899290.756710,233689.500,35997,4,EM,1,100,RB
1742899290.807460,233740.250,35997,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899290.858211,233791.000,35997,4,EM,1,100,PS
1742899290.928711,233861.500,36036,4,EM,1,100,RS
1742899290.999212,233932.000,36036,4,EM,1,100,RB
1742899291.069713,234002.500,36036,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899291.140214,234073.000,36036,4,EM,1,100,PS
1742899291.190464,234123.250,36069,4,EM,1,100,RS
1742899291.240715,234173.500,36069,4,EM,1,100,RB
1742899291.290965,234223.750,36069,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899291.341216,234274.000,36069,4,EM,1,100,PS
1742899291.391466,234324.250,36101,4,EM,1,100,RS
1742899291.441717,234374.500,36101,4,EM,1,100,RB
1742899291.491967,234424.750,36101,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899291.542218,234475.000,36101,4,EM,1,100,PS
1742899291.592469,234525.250,36137,4,EM,1,100,RS
1742899291.642719,234575.500,36137,4,EM,1,100,RB
1742899291.692970,234625.750,36137,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899291.743220,234676.000,36137,4,EM,1,100,PS
1742899291.793471,234726.250,36168,4,EM,1,100,RS
1742899291.843721,234776.500,36168,4,EM,1,100,RB
1742899291.893972,234826.750,36168,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899291.944222,234877.000,36168,4,EM,1,100,PS
1742899291.994473,234927.250,36202,4,EM,1,100,RS
1742899292.044723,234977.500,36202,4,EM,1,100,RB
1742899292.094974,235027.750,36202,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899292.145224,235078.000,36202,4,EM,1,100,PS
1742899292.195475,235128.250,36235,4,EM,1,100,RS
1742899292.245725,235178.500,36235,4,EM,1,100,RB
1742899292.295976,235228.750,36235,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899292.346226,235279.000,36235,4,EM,1,100,PS
1742899292.396477,235329.250,36269,4,EM,1,100,RS
1742899292.446728,235379.500,36269,4,EM,1,100,RB
1742899292.496978,235429.750,36269,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899292.547229,235480.000,36269,4,EM,1,100,PS
1742899292.597479,235530.250,36301,4,EM,1,100,RS
1742899292.647730,235580.500,36301,4,EM,1,100,RB
1742899292.697980,235630.750,36301,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899292.748231,235681.000,36301,4,EM,1,100,PS
1742899292.798981,235731.750,36334,4,EM,1,100,RS
1742899292.849732,235782.500,36334,4,EM,1,100,RB
1742899292.900482,235833.250,36334,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899292.951233,235884.000,36334,4,EM,1,100,PS
