LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LC,LM,
1742899336.380697,279313,43407,4,TX,1,100,374089.3928476,374089.3928581,
1742899352.769872,295702,46097,4,TX,1,100,374106.4340459,374106.4340461,
1742899375.606116,318538,49844,4,TX,1,100,374129.5978512,374129.5978588,
1742899376.426125,319358,49980,4,TX,1,100,374130.3801002,374130.3801185,
1742899400.384381,343316,53908,4,TX,1,100,374154.2247546,374154.2247630,
1742899401.202389,344134,54043,4,TX,1,100,374155.0098664,374155.0098748,
1742899424.253636,367185,57812,4,TX,1,100,374178.2390374,374178.2390475,
1742899463.490055,406421,64275,4,TX,1,100,374217.3596068,374217.3596098,
