LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1742899274.632037,217565.000,33362,3,MX,1,100,-15
1742899274.632037,217565.000,33362,3,MX,1,100,-15
1742899274.632037,217565.000,33362,3,MX,1,100,-16
1742899274.672038,217605.000,33381,2,MX,1,100,-15
1742899274.712038,217645.000,33381,2,MX,1,100,-14
1742899274.752038,217685.000,33397,3,MX,1,100,-15
1742899274.792039,217725.000,33397,3,MX,1,100,-15
1742899274.832039,217765.000,33397,3,MX,1,100,-15
1742899274.867707,217800.667,33412,3,MX,1,100,-15
1742899274.903373,217836.333,33412,3,MX,1,100,-16
1742899274.939040,217872.000,33412,3,MX,1,100,-15
1742899274.979041,217912.000,33429,2,MX,1,100,-15
1742899275.019041,217952.000,33429,2,MX,1,100,-15
1742899275.059042,217992.000,33446,3,MX,1,100,-15
1742899275.099042,218032.000,33446,3,MX,1,100,-15
1742899275.139043,218072.000,33446,3,MX,1,100,-15
1742899275.179043,218112.000,33462,2,MX,1,100,-15
1742899275.219043,218152.000,33462,2,MX,1,100,-14
1742899275.259044,218192.000,33479,3,MX,1,100,-14
1742899275.299044,218232.000,33479,3,MX,1,100,-15
1742899275.339045,218272.000,33479,3,MX,1,100,-15
1742899275.379045,218312.000,33496,2,MX,1,100,-15
1742899275.419046,218352.000,33496,2,MX,1,100,-15
1742899275.459046,218392.000,33513,3,MX,1,100,-15
1742899275.499047,218432.000,33513,3,MX,1,100,-15
1742899275.539047,218472.000,33513,3,MX,1,100,-15
1742899275.579047,218512.000,33530,2,MX,1,100,-15
1742899275.619048,218552.000,33530,2,MX,1,100,-14
1742899275.659048,218592.000,33552,4,MX,1,100,-15
1742899275.699049,218632.000,33552,4,MX,1,100,-14
1742899275.739049,218672.000,33552,4,MX,1,100,-15
1742899275.779049,218712.000,33552,4,MX,1,100,-15
1742899275.819050,218752.000,33568,3,MX,1,100,-15
1742899275.859050,218792.000,33568,3,MX,1,100,-16
