LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1742899278.019073,220952.000,33905,4,PI,1,100,172503
1742899278.059074,220992.000,33905,4,PI,1,100,172630
1742899278.099074,221032.000,33921,2,PI,1,100,172669
1742899278.139075,221072.000,33921,2,PI,1,100,172727
1742899278.179075,221112.000,33940,3,PI,1,100,172814
1742899278.219076,221152.000,33940,3,PI,1,100,172963
1742899278.259076,221192.000,33940,3,PI,1,100,173129
1742899278.299076,221232.000,33957,2,PI,1,100,173266
1742899278.339077,221272.000,33957,2,PI,1,100,173419
1742899278.379077,221312.000,33974,3,PI,1,100,173554
1742899278.419078,221352.000,33974,3,PI,1,100,173686
1742899278.459078,221392.000,33974,3,PI,1,100,173768
1742899278.499079,221432.000,33990,2,PI,1,100,173392
1742899278.539079,221472.000,33990,2,PI,1,100,172557
1742899278.579079,221512.000,34008,3,PI,1,100,172104
1742899278.619080,221552.000,34008,3,PI,1,100,172120
1742899278.659080,221592.000,34008,3,PI,1,100,172290
1742899278.699081,221632.000,34022,2,PI,1,100,172497
1742899278.739081,221672.000,34022,2,PI,1,100,172634
1742899278.779082,221712.000,34041,3,PI,1,100,172652
1742899278.819082,221752.000,34041,3,PI,1,100,172710
1742899278.859082,221792.000,34041,3,PI,1,100,172766
1742899278.899083,221832.000,34058,2,PI,1,100,172903
1742899278.939083,221872.000,34058,2,PI,1,100,173058
1742899278.979084,221912.000,34075,3,PI,1,100,173230
1742899279.019084,221952.000,34075,3,PI,1,100,173356
1742899279.059085,221992.000,34075,3,PI,1,100,173507
1742899279.099085,222032.000,34089,3,PI,1,100,173623
1742899279.139085,222072.000,34089,3,PI,1,100,173376
1742899279.179086,222112.000,34089,3,PI,1,100,172492
1742899279.219086,222152.000,34106,2,PI,1,100,171795
1742899279.259087,222192.000,34106,2,PI,1,100,171618
1742899279.299087,222232.000,34123,3,PI,1,100,171688
1742899279.339087,222272.000,34123,3,PI,1,100,171861
1742899279.379088,222312.000,34123,3,PI,1,100,172018
1742899279.419088,222352.000,34140,2,PI,1,100,172080
1742899279.459089,222392.000,34140,2,PI,1,100,172135
1742899279.499089,222432.000,34157,3,PI,1,100,172214
1742899279.539090,222472.000,34157,3,PI,1,100,172336
1742899279.579090,222512.000,34157,3,PI,1,100,172495
1742899279.619091,222552.000,34174,2,PI,1,100,172666
1742899279.659091,222592.000,34174,2,PI,1,100,172813
1742899279.699091,222632.000,34190,3,PI,1,100,172959
1742899279.739092,222672.000,34190,3,PI,1,100,173104
1742899279.779092,222712.000,34190,3,PI,1,100,173034
1742899279.819093,222752.000,34207,2,PI,1,100,172190
1742899279.859093,222792.000,34207,2,PI,1,100,171326
1742899279.899094,222832.000,34224,3,PI,1,100,171005
1742899279.939094,222872.000,34224,3,PI,1,100,171015
1742899279.979094,222912.000,34224,3,PI,1,100,171137
1742899280.019095,222952.000,34239,2,PI,1,100,171297
1742899280.059095,222992.000,34239,2,PI,1,100,171402
1742899280.099096,223032.000,34255,3,PI,1,100,171428
1742899280.139096,223072.000,34255,3,PI,1,100,171507
1742899280.179096,223112.000,34255,3,PI,1,100,171654
1742899280.219097,223152.000,34275,2,PI,1,100,171813
1742899280.259097,223192.000,34275,2,PI,1,100,172000
1742899280.299098,223232.000,34291,3,PI,1,100,172162
1742899280.339098,223272.000,34291,3,PI,1,100,172324
1742899280.379099,223312.000,34291,3,PI,1,100,172473
1742899280.419099,223352.000,34306,2,PI,1,100,172631
1742899280.459100,223392.000,34306,2,PI,1,100,172433
1742899280.499100,223432.000,34322,3,PI,1,100,171550
1742899280.539100,223472.000,34322,3,PI,1,100,170909
1742899280.579101,223512.000,34322,3,PI,1,100,170712
1742899280.619101,223552.000,34340,3,PI,1,100,170734
1742899280.659102,223592.000,34340,3,PI,1,100,170895
1742899280.699102,223632.000,34340,3,PI,1,100,171058
1742899280.739103,223672.000,34364,5,PI,1,100,171143
1742899280.779103,223712.000,34364,5,PI,1,100,171203
1742899280.819103,223752.000,34364,5,PI,1,100,171310
1742899280.859104,223792.000,34364,5,PI,1,100,171480
1742899280.899104,223832.000,34364,5,PI,1,100,171649
1742899280.939105,223872.000,34381,2,PI,1,100,171835
1742899280.979105,223912.000,34381,2,PI,1,100,172017
1742899281.019105,223952.000,34398,3,PI,1,100,172186
1742899281.059106,223992.000,34398,3,PI,1,100,172339
1742899281.099106,224032.000,34398,3,PI,1,100,172503
1742899281.139107,224072.000,34414,2,PI,1,100,172641
1742899281.179107,224112.000,34414,2,PI,1,100,172333
1742899281.219108,224152.000,34430,3,PI,1,100,171676
1742899281.259108,224192.000,34430,3,PI,1,100,171344
1742899281.299109,224232.000,34430,3,PI,1,100,171361
1742899281.339109,224272.000,34446,2,PI,1,100,171473
1742899281.379109,224312.000,34446,2,PI,1,100,171635
1742899281.419110,224352.000,34465,3,PI,1,100,171774
1742899281.459110,224392.000,34465,3,PI,1,100,171842
1742899281.499111,224432.000,34465,3,PI,1,100,171928
1742899281.539111,224472.000,34481,2,PI,1,100,172053
1742899281.579112,224512.000,34481,2,PI,1,100,172206
1742899281.619112,224552.000,34498,3,PI,1,100,172363
1742899281.659112,224592.000,34498,3,PI,1,100,172541
1742899281.699113,224632.000,34498,3,PI,1,100,172698
1742899281.738780,224671.667,34513,3,PI,1,100,172841
1742899281.778447,224711.333,34513,3,PI,1,100,172984
1742899281.818114,224751.000,34513,3,PI,1,100,173111
1742899281.858614,224791.500,34530,2,PI,1,100,173229
1742899281.899115,224832.000,34530,2,PI,1,100,172894
1742899281.938782,224871.667,34547,3,PI,1,100,172416
1742899281.978449,224911.333,34547,3,PI,1,100,172315
1742899282.018116,224951.000,34547,3,PI,1,100,172410
1742899282.058117,224991.000,34564,2,PI,1,100,172544
1742899282.098117,225031.000,34564,2,PI,1,100,172668
1742899282.138118,225071.000,34580,3,PI,1,100,172768
1742899282.178118,225111.000,34580,3,PI,1,100,172797
1742899282.218118,225151.000,34580,3,PI,1,100,172878
1742899282.258119,225191.000,34598,2,PI,1,100,172993
1742899282.298119,225231.000,34598,2,PI,1,100,173122
1742899282.338120,225271.000,34614,3,PI,1,100,173254
1742899282.378120,225311.000,34614,3,PI,1,100,173373
1742899282.418120,225351.000,34614,3,PI,1,100,173515
1742899282.458121,225391.000,34631,2,PI,1,100,173617
1742899282.498121,225431.000,34631,2,PI,1,100,173736
1742899282.538455,225471.333,34646,3,PI,1,100,173837
1742899282.578789,225511.667,34646,3,PI,1,100,173537
1742899282.619123,225552.000,34646,3,PI,1,100,173034
1742899282.658623,225591.500,34663,2,PI,1,100,172901
1742899282.698123,225631.000,34663,2,PI,1,100,172967
1742899282.738124,225671.000,34679,3,PI,1,100,173043
1742899282.778124,225711.000,34679,3,PI,1,100,173166
1742899282.818125,225751.000,34679,3,PI,1,100,173241
1742899282.858125,225791.000,34698,2,PI,1,100,173286
1742899282.898126,225831.000,34698,2,PI,1,100,173333
1742899282.938126,225871.000,34713,3,PI,1,100,173429
1742899282.978127,225911.000,34713,3,PI,1,100,173543
1742899283.018127,225951.000,34713,3,PI,1,100,173635
1742899283.058127,225991.000,34730,2,PI,1,100,173753
1742899283.098128,226031.000,34730,2,PI,1,100,173857
1742899283.138128,226071.000,34746,3,PI,1,100,173943
1742899283.178128,226111.000,34746,3,PI,1,100,174045
1742899283.218129,226151.000,34746,3,PI,1,100,174145
1742899283.258129,226191.000,34764,3,PI,1,100,174131
1742899283.298130,226231.000,34764,3,PI,1,100,173673
1742899283.338130,226271.000,34764,3,PI,1,100,173254
1742899283.378131,226311.000,34780,2,PI,1,100,173220
1742899283.418131,226351.000,34780,2,PI,1,100,173280
1742899283.458132,226391.000,34797,3,PI,1,100,173383
1742899283.498132,226431.000,34797,3,PI,1,100,173480
1742899283.538132,226471.000,34797,3,PI,1,100,173540
1742899283.578133,226511.000,34816,2,PI,1,100,173568
1742899283.618133,226551.000,34816,2,PI,1,100,173600
1742899283.658134,226591.000,34833,3,PI,1,100,173701
1742899283.698134,226631.000,34833,3,PI,1,100,173795
1742899283.738135,226671.000,34833,3,PI,1,100,173902
1742899283.778135,226711.000,34848,2,PI,1,100,174009
1742899283.818135,226751.000,34848,2,PI,1,100,174098
1742899283.858136,226791.000,34865,3,PI,1,100,174205
1742899283.898136,226831.000,34865,3,PI,1,100,174275
1742899283.938137,226871.000,34865,3,PI,1,100,174365
1742899283.978137,226911.000,34881,2,PI,1,100,174441
1742899284.018137,226951.000,34881,2,PI,1,100,174224
1742899284.058138,226991.000,34898,3,PI,1,100,173673
1742899284.098138,227031.000,34898,3,PI,1,100,173447
1742899284.138139,227071.000,34898,3,PI,1,100,173492
1742899284.178139,227111.000,34914,3,PI,1,100,173586
1742899284.218140,227151.000,34914,3,PI,1,100,173683
1742899284.258140,227191.000,34914,3,PI,1,100,173757
1742899284.298141,227231.000,34930,2,PI,1,100,173791
1742899284.338141,227271.000,34930,2,PI,1,100,173822
1742899284.378141,227311.000,34948,3,PI,1,100,173867
1742899284.418142,227351.000,34948,3,PI,1,100,173984
1742899284.458142,227391.000,34948,3,PI,1,100,174074
1742899284.498143,227431.000,34965,2,PI,1,100,174168
1742899284.538143,227471.000,34965,2,PI,1,100,174272
1742899284.578144,227511.000,34982,3,PI,1,100,174359
1742899284.618144,227551.000,34982,3,PI,1,100,174433
1742899284.658144,227591.000,34982,3,PI,1,100,174524
1742899284.698145,227631.000,34997,2,PI,1,100,174612
1742899284.738145,227671.000,34997,2,PI,1,100,174693
1742899284.778146,227711.000,35013,3,PI,1,100,174417
1742899284.818146,227751.000,35013,3,PI,1,100,173887
1742899284.858146,227791.000,35013,3,PI,1,100,173706
1742899284.898147,227831.000,35031,2,PI,1,100,173820
1742899284.938147,227871.000,35031,2,PI,1,100,173956
1742899284.978148,227911.000,35047,3,PI,1,100,174057
1742899285.018148,227951.000,35047,3,PI,1,100,174111
1742899285.058149,227991.000,35047,3,PI,1,100,174115
1742899285.098149,228031.000,35064,2,PI,1,100,174125
1742899285.138149,228071.000,35064,2,PI,1,100,174170
1742899285.178150,228111.000,35080,3,PI,1,100,174260
1742899285.218150,228151.000,35080,3,PI,1,100,174360
1742899285.258151,228191.000,35080,3,PI,1,100,174471
1742899285.298151,228231.000,35098,3,PI,1,100,174547
1742899285.338152,228271.000,35098,3,PI,1,100,174634
1742899285.378152,228311.000,35098,3,PI,1,100,174708
1742899285.418153,228351.000,35114,2,PI,1,100,174762
1742899285.458153,228391.000,35114,2,PI,1,100,174816
1742899285.498153,228431.000,35130,3,PI,1,100,174450
1742899285.538154,228471.000,35130,3,PI,1,100,173888
1742899285.578154,228511.000,35130,3,PI,1,100,173736
1742899285.618155,228551.000,35146,2,PI,1,100,173795
1742899285.658155,228591.000,35146,2,PI,1,100,173878
1742899285.698155,228631.000,35163,3,PI,1,100,173924
1742899285.738156,228671.000,35163,3,PI,1,100,174021
1742899285.778156,228711.000,35163,3,PI,1,100,174031
1742899285.818157,228751.000,35179,2,PI,1,100,174037
1742899285.858157,228791.000,35179,2,PI,1,100,174110
1742899285.898158,228831.000,35202,4,PI,1,100,174187
1742899285.938158,228871.000,35202,4,PI,1,100,174267
1742899285.978158,228911.000,35202,4,PI,1,100,174363
1742899286.018159,228951.000,35202,4,PI,1,100,174473
1742899286.058159,228991.000,35218,2,PI,1,100,174545
1742899286.098160,229031.000,35218,2,PI,1,100,174613
1742899286.138160,229071.000,35233,3,PI,1,100,174683
1742899286.178161,229111.000,35233,3,PI,1,100,174638
1742899286.218161,229151.000,35233,3,PI,1,100,174078
1742899286.258162,229191.000,35250,2,PI,1,100,173631
1742899286.298162,229231.000,35250,2,PI,1,100,173537
1742899286.338162,229271.000,35267,3,PI,1,100,173605
1742899286.378163,229311.000,35267,3,PI,1,100,173688
1742899286.418163,229351.000,35267,3,PI,1,100,173779
1742899286.458163,229391.000,35283,3,PI,1,100,173844
1742899286.498164,229431.000,35283,3,PI,1,100,173849
1742899286.538164,229471.000,35283,3,PI,1,100,173879
1742899286.578165,229511.000,35301,2,PI,1,100,173948
1742899286.618165,229551.000,35301,2,PI,1,100,174011
1742899286.658166,229591.000,35317,3,PI,1,100,174149
1742899286.698166,229631.000,35317,3,PI,1,100,174264
1742899286.738167,229671.000,35317,3,PI,1,100,174358
1742899286.778167,229711.000,35334,2,PI,1,100,174459
1742899286.818167,229751.000,35334,2,PI,1,100,174562
1742899286.858168,229791.000,35350,3,PI,1,100,174639
1742899286.898168,229831.000,35350,3,PI,1,100,174557
1742899286.938169,229871.000,35350,3,PI,1,100,173970
1742899286.978169,229911.000,35367,2,PI,1,100,173498
1742899287.018170,229951.000,35367,2,PI,1,100,173403
1742899287.058170,229991.000,35382,3,PI,1,100,173472
1742899287.098171,230031.000,35382,3,PI,1,100,173547
1742899287.138171,230071.000,35382,3,PI,1,100,173653
1742899287.178171,230111.000,35399,2,PI,1,100,173687
1742899287.218172,230151.000,35399,2,PI,1,100,173707
1742899287.258172,230191.000,35418,3,PI,1,100,173754
1742899287.298172,230231.000,35418,3,PI,1,100,173820
1742899287.338173,230271.000,35418,3,PI,1,100,173927
1742899287.378173,230311.000,35435,2,PI,1,100,174054
1742899287.418174,230351.000,35435,2,PI,1,100,174177
1742899287.458174,230391.000,35449,3,PI,1,100,174272
1742899287.498175,230431.000,35449,3,PI,1,100,174380
1742899287.538175,230471.000,35449,3,PI,1,100,174473
1742899287.578176,230511.000,35467,2,PI,1,100,174565
1742899287.618176,230551.000,35467,2,PI,1,100,174539
1742899287.658176,230591.000,35483,3,PI,1,100,173960
1742899287.698177,230631.000,35483,3,PI,1,100,173427
1742899287.738177,230671.000,35483,3,PI,1,100,173329
1742899287.778178,230711.000,35500,2,PI,1,100,173403
1742899287.818178,230751.000,35500,2,PI,1,100,173514
1742899287.858179,230791.000,35515,3,PI,1,100,173608
1742899287.898179,230831.000,35515,3,PI,1,100,173678
1742899287.938179,230871.000,35515,3,PI,1,100,173662
1742899287.978180,230911.000,35534,3,PI,1,100,173709
1742899288.018180,230951.000,35534,3,PI,1,100,173807
1742899288.058181,230991.000,35534,3,PI,1,100,173889
1742899288.098181,231031.000,35550,2,PI,1,100,173997
1742899288.138181,231071.000,35550,2,PI,1,100,174128
1742899288.178182,231111.000,35567,3,PI,1,100,174228
1742899288.218182,231151.000,35567,3,PI,1,100,174311
1742899288.258183,231191.000,35567,3,PI,1,100,174397
1742899288.298183,231231.000,35584,2,PI,1,100,174483
1742899288.338184,231271.000,35584,2,PI,1,100,174199
1742899288.378184,231311.000,35601,3,PI,1,100,173537
1742899288.418185,231351.000,35601,3,PI,1,100,173212
1742899288.458185,231391.000,35601,3,PI,1,100,173186
1742899288.498185,231431.000,35617,2,PI,1,100,173272
1742899288.538186,231471.000,35617,2,PI,1,100,173379
1742899288.578186,231511.000,35635,3,PI,1,100,173453
1742899288.618187,231551.000,35635,3,PI,1,100,173474
1742899288.658187,231591.000,35635,3,PI,1,100,173485
1742899288.698188,231631.000,35651,2,PI,1,100,173554
1742899288.738188,231671.000,35651,2,PI,1,100,173662
1742899288.778188,231711.000,35668,3,PI,1,100,173773
1742899288.818189,231751.000,35668,3,PI,1,100,173880
1742899288.858189,231791.000,35668,3,PI,1,100,173999
1742899288.898190,231831.000,35685,2,PI,1,100,174109
1742899288.938190,231871.000,35685,2,PI,1,100,174201
1742899288.978190,231911.000,35702,3,PI,1,100,174297
1742899289.018191,231951.000,35702,3,PI,1,100,174112
1742899289.058191,231991.000,35702,3,PI,1,100,173413
1742899289.098192,232031.000,35716,2,PI,1,100,172931
1742899289.138192,232071.000,35716,2,PI,1,100,172832
1742899289.178193,232111.000,35733,3,PI,1,100,172865
1742899289.218193,232151.000,35733,3,PI,1,100,172963
1742899289.258193,232191.000,35733,3,PI,1,100,173066
1742899289.298194,232231.000,35750,3,PI,1,100,173103
1742899289.338194,232271.000,35750,3,PI,1,100,173134
1742899289.378195,232311.000,35750,3,PI,1,100,173187
1742899289.418195,232351.000,35769,2,PI,1,100,173288
1742899289.458196,232391.000,35769,2,PI,1,100,173403
1742899289.498196,232431.000,35784,3,PI,1,100,173546
1742899289.538197,232471.000,35784,3,PI,1,100,173668
1742899289.578197,232511.000,35784,3,PI,1,100,173770
1742899289.618197,232551.000,35801,2,PI,1,100,173906
1742899289.658198,232591.000,35801,2,PI,1,100,173996
1742899289.698198,232631.000,35817,3,PI,1,100,174054
1742899289.738199,232671.000,35817,3,PI,1,100,173638
1742899289.778199,232711.000,35817,3,PI,1,100,172884
1742899289.818199,232751.000,35834,2,PI,1,100,172576
1742899289.858200,232791.000,35834,2,PI,1,100,172543
1742899289.898200,232831.000,35851,3,PI,1,100,172592
1742899289.938201,232871.000,35851,3,PI,1,100,172679
1742899289.978201,232911.000,35851,3,PI,1,100,172778
1742899290.018202,232951.000,35866,2,PI,1,100,172813
1742899290.058202,232991.000,35866,2,PI,1,100,172858
1742899290.098202,233031.000,35884,3,PI,1,100,172938
1742899290.138203,233071.000,35884,3,PI,1,100,173077
1742899290.178203,233111.000,35884,3,PI,1,100,173227
1742899290.218204,233151.000,35902,3,PI,1,100,173355
1742899290.258204,233191.000,35902,3,PI,1,100,173506
1742899290.298205,233231.000,35902,3,PI,1,100,173612
1742899290.338205,233271.000,35918,2,PI,1,100,173720
1742899290.378206,233311.000,35918,2,PI,1,100,173835
1742899290.418206,233351.000,35933,3,PI,1,100,173947
1742899290.458206,233391.000,35933,3,PI,1,100,173536
1742899290.498207,233431.000,35933,3,PI,1,100,172786
1742899290.538207,233471.000,35949,2,PI,1,100,172469
1742899290.578207,233511.000,35949,2,PI,1,100,172440
1742899290.618208,233551.000,35967,3,PI,1,100,172536
1742899290.658208,233591.000,35967,3,PI,1,100,172660
1742899290.698209,233631.000,35967,3,PI,1,100,172765
1742899290.738209,233671.000,35983,2,PI,1,100,172796
1742899290.778210,233711.000,35983,2,PI,1,100,172846
1742899290.818210,233751.000,36000,3,PI,1,100,172938
1742899290.858211,233791.000,36000,3,PI,1,100,173070
1742899290.898211,233831.000,36000,3,PI,1,100,173222
1742899290.938211,233871.000,36017,2,PI,1,100,173360
1742899290.978212,233911.000,36017,2,PI,1,100,173507
1742899291.017962,233950.750,36037,4,PI,1,100,173611
1742899291.057713,233990.500,36037,4,PI,1,100,173727
1742899291.097463,234030.250,36037,4,PI,1,100,173840
1742899291.137213,234070.000,36037,4,PI,1,100,173909
1742899291.177714,234110.500,36053,2,PI,1,100,173573
1742899291.218215,234151.000,36053,2,PI,1,100,172879
1742899291.258215,234191.000,36071,3,PI,1,100,172548
1742899291.298215,234231.000,36071,3,PI,1,100,172583
1742899291.338216,234271.000,36071,3,PI,1,100,172713
1742899291.378216,234311.000,36086,2,PI,1,100,172838
1742899291.418216,234351.000,36086,2,PI,1,100,172920
1742899291.457884,234390.667,36104,3,PI,1,100,172954
1742899291.497551,234430.333,36104,3,PI,1,100,173002
1742899291.537218,234470.000,36104,3,PI,1,100,173083
1742899291.577718,234510.500,36121,2,PI,1,100,173206
1742899291.618219,234551.000,36121,2,PI,1,100,173335
1742899291.658219,234591.000,36138,3,PI,1,100,173476
1742899291.698220,234631.000,36138,3,PI,1,100,173604
1742899291.738220,234671.000,36138,3,PI,1,100,173736
1742899291.777720,234710.500,36154,2,PI,1,100,173841
1742899291.817221,234750.000,36154,2,PI,1,100,173941
1742899291.857221,234790.000,36170,3,PI,1,100,173574
1742899291.897222,234830.000,36170,3,PI,1,100,172836
1742899291.937222,234870.000,36170,3,PI,1,100,172425
1742899291.977222,234910.000,36186,2,PI,1,100,172359
1742899292.017223,234950.000,36186,2,PI,1,100,172448
1742899292.057223,234990.000,36203,3,PI,1,100,172556
1742899292.097224,235030.000,36203,3,PI,1,100,172664
1742899292.137224,235070.000,36203,3,PI,1,100,172709
1742899292.177558,235110.333,36221,3,PI,1,100,172764
1742899292.217892,235150.667,36221,3,PI,1,100,172856
1742899292.258225,235191.000,36221,3,PI,1,100,172958
1742899292.297726,235230.500,36237,2,PI,1,100,173111
1742899292.337226,235270.000,36237,2,PI,1,100,173265
1742899292.377227,235310.000,36253,3,PI,1,100,173395
1742899292.417227,235350.000,36253,3,PI,1,100,173539
1742899292.457228,235390.000,36253,3,PI,1,100,173679
1742899292.497228,235430.000,36270,2,PI,1,100,173803
1742899292.537229,235470.000,36270,2,PI,1,100,173670
1742899292.577562,235510.333,36287,3,PI,1,100,172910
1742899292.617896,235550.667,36287,3,PI,1,100,172322
1742899292.658230,235591.000,36287,3,PI,1,100,172198
1742899292.697730,235630.500,36302,2,PI,1,100,172221
1742899292.737231,235670.000,36302,2,PI,1,100,172339
1742899292.777565,235710.333,36318,3,PI,1,100,172490
1742899292.817898,235750.667,36318,3,PI,1,100,172580
1742899292.858232,235791.000,36318,3,PI,1,100,172623
1742899292.897732,235830.500,36338,2,PI,1,100,172697
1742899292.937233,235870.000,36338,2,PI,1,100,172840
1742899292.977233,235910.000,36354,3,PI,1,100,172980
1742899293.017234,235950.000,36354,3,PI,1,100,173137
1742899293.057234,235990.000,36354,3,PI,1,100,173307
1742899293.097234,236030.000,36369,2,PI,1,100,173440
1742899293.137235,236070.000,36369,2,PI,1,100,173571
1742899293.177569,236110.333,36385,3,PI,1,100,173721
1742899293.217902,236150.667,36385,3,PI,1,100,173855
1742899293.258236,236191.000,36385,3,PI,1,100,173685
1742899293.297737,236230.500,36405,2,PI,1,100,172933
1742899293.337237,236270.000,36405,2,PI,1,100,172366
1742899293.377238,236310.000,36421,3,PI,1,100,172265
1742899293.417238,236350.000,36421,3,PI,1,100,172359
1742899293.457238,236390.000,36421,3,PI,1,100,172508
1742899293.497239,236430.000,36437,3,PI,1,100,172644
1742899293.537239,236470.000,36437,3,PI,1,100,172712
1742899293.577240,236510.000,36437,3,PI,1,100,172758
1742899293.617240,236550.000,36455,2,PI,1,100,172853
1742899293.657240,236590.000,36455,2,PI,1,100,172982
1742899293.697241,236630.000,36472,3,PI,1,100,173129
1742899293.737241,236670.000,36472,3,PI,1,100,173295
1742899293.777242,236710.000,36472,3,PI,1,100,173445
1742899293.817242,236750.000,36488,2,PI,1,100,173549
1742899293.857243,236790.000,36488,2,PI,1,100,173717
1742899293.897243,236830.000,36505,3,PI,1,100,173855
1742899293.937243,236870.000,36505,3,PI,1,100,173971
1742899293.977244,236910.000,36505,3,PI,1,100,173903
1742899294.017244,236950.000,36520,2,PI,1,100,173224
1742899294.057245,236990.000,36520,2,PI,1,100,172622
1742899294.097245,237030.000,36537,3,PI,1,100,172491
1742899294.137246,237070.000,36537,3,PI,1,100,172657
1742899294.177246,237110.000,36537,3,PI,1,100,172847
1742899294.217247,237150.000,36554,2,PI,1,100,172994
