LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1742899403.654416,346586.000,54452,2,AK,1,100,RD
1742899406.180443,349112.000,55288,2,AK,1,100,54450
1742899408.706470,351638.000,55288,2,AK,1,100,RD
1742899408.744970,351676.500,55291,2,AK,1,100,55289
1742899408.783470,351715.000,55291,2,AK,1,100,RD
1742899411.302997,354234.500,56125,2,AK,1,100,55289
1742899413.822524,356754.000,56125,2,AK,1,100,RD
1742899413.862525,356794.000,56128,2,AK,1,100,56126
1742899413.902525,356834.000,56128,2,AK,1,100,RD
1742899416.416552,359348.000,56948,2,AK,1,100,56126
1742899418.930579,361862.000,56948,2,AK,1,100,RD
1742899418.972579,361904.000,56951,2,AK,1,100,56949
1742899419.014580,361946.000,56951,2,AK,1,100,RD
1742899421.532107,364463.500,57790,2,AK,1,100,56949
1742899424.049634,366981.000,57790,2,AK,1,100,RD
1742899424.095134,367026.500,57793,2,AK,1,100,57791
1742899424.140635,367072.000,57793,2,AK,1,100,RD
1742899426.660161,369591.500,58630,2,AK,1,100,57791
1742899429.179688,372111.000,58630,2,AK,1,100,RD
1742899429.220689,372152.000,58633,2,AK,1,100,58631
1742899429.261689,372193.000,58633,2,AK,1,100,RD
1742899431.781216,374712.500,59474,2,AK,1,100,58631
1742899434.300743,377232.000,59474,2,AK,1,100,RD
1742899434.342744,377274.000,59477,2,AK,1,100,59475
1742899434.384744,377316.000,59477,2,AK,1,100,RD
1742899436.899271,379830.500,60324,2,AK,1,100,59475
1742899439.413798,382345.000,60324,2,AK,1,100,RD
1742899439.459298,382390.500,60327,2,AK,1,100,60325
1742899439.504799,382436.000,60327,2,AK,1,100,RD
1742899442.017326,384948.500,61165,2,AK,1,100,60325
1742899444.529852,387461.000,61165,2,AK,1,100,RD
1742899444.575353,387506.500,61168,2,AK,1,100,61166
1742899444.620853,387552.000,61168,2,AK,1,100,RD
1742899447.139880,390071.000,62015,2,AK,1,100,61166
1742899449.658907,392590.000,62015,2,AK,1,100,RD
1742899449.699408,392630.500,62018,2,AK,1,100,62016
1742899449.739908,392671.000,62018,2,AK,1,100,RD
1742899452.252435,395183.500,62841,2,AK,1,100,62016
1742899454.764962,397696.000,62841,2,AK,1,100,RD
1742899454.813462,397744.500,62844,2,AK,1,100,62842
1742899454.861963,397793.000,62844,2,AK,1,100,RD
1742899457.375490,400306.500,63682,2,AK,1,100,62842
